team_size,project_budget,project_duration,requirement_change_count,average_sprint_delay,bug_count,testing_coverage,code_complexity,developer_experience,communication_frequency,task_completion_rate,client_change_requests,previous_project_success_rate,risk_level,delay,budget_overrun,quality_issues,requirement_instability
30,169526.93,5,5,0.7,62,43.29,5,2.78,8,62.79,5,51.85,Low,1,0,1,0
12,287896.24,23,5,0.0,43,45.17,7,7.93,6,79.81,2,62.52,Low,0,1,0,0
44,535480.69,17,6,3.3,60,62.11,8,2.16,9,81.68,4,70.82,Low,0,1,0,1
20,289956.9,3,7,3.03,57,62.56,6,3.86,10,81.31,3,95.43,Low,0,0,0,0
5,499069.67,7,6,4.97,57,47.43,4,0.2,7,76.6,2,85.37,Low,0,0,1,0
45,365331.24,10,8,2.9,55,70.52,9,5.1,2,79.05,2,64.7,Low,1,1,0,0
54,542932.24,5,2,0.94,60,65.94,4,7.68,0,64.72,7,54.39,Low,1,0,1,0
2,239372.4,20,3,2.47,53,26.48,2,2.25,8,93.62,3,52.4,Low,0,0,0,0
27,680240.09,22,8,0.0,62,76.05,3,3.82,3,82.69,3,100.0,Low,0,0,1,0
49,162628.68,6,8,1.38,62,51.75,8,3.97,7,71.66,1,71.57,Low,0,0,0,0
42,112036.87,1,9,0.0,57,76.51,1,3.98,5,90.02,4,75.59,Low,1,0,0,0
51,32190.49,7,9,2.86,52,99.43,5,1.99,1,63.76,2,54.1,Low,0,0,0,0
26,669584.44,14,3,1.64,63,60.79,1,4.59,4,73.91,7,72.56,Low,0,0,0,1
23,397500.56,19,3,1.94,55,50.39,10,8.27,10,86.32,3,56.58,Low,0,0,0,0
43,189858.27,8,7,0.34,58,86.82,4,3.3,3,52.51,6,74.37,Low,0,0,0,1
10,474824.09,7,3,0.86,57,46.9,3,5.05,8,100.0,6,66.01,Low,1,0,0,0
15,373784.59,6,4,3.59,45,96.06,7,5.03,7,62.58,3,59.14,Low,0,1,0,0
36,603902.94,1,7,0.0,48,53.66,10,3.55,4,64.76,6,93.56,Low,0,0,0,1
40,15000.0,1,7,3.21,50,50.72,1,5.17,8,72.32,6,95.03,Low,0,0,0,0
8,202235.18,10,5,0.58,58,100.0,9,3.59,6,83.84,5,80.93,Low,0,0,1,0
31,166746.15,15,7,0.0,45,68.53,4,5.5,6,85.37,6,39.69,Low,0,0,0,0
23,15000.0,1,4,4.65,56,91.2,2,4.33,3,95.99,4,52.98,Low,0,0,0,0
31,440858.9,5,8,4.86,50,61.53,1,1.13,10,70.98,5,53.74,Low,0,0,0,0
57,201328.62,21,4,1.12,63,60.25,5,0.2,2,77.28,6,100.0,Low,0,1,0,0
6,383133.62,23,7,1.1,64,9.35,3,0.2,5,47.39,5,91.08,Low,0,0,0,1
59,674758.95,15,11,1.7,50,80.21,3,3.52,9,54.87,4,96.46,Low,1,0,0,0
28,186416.14,12,4,0.58,45,68.93,2,6.49,7,70.54,3,58.53,Low,0,0,0,0
46,174192.46,14,6,0.93,51,59.99,2,2.75,6,77.73,5,44.39,Low,0,0,0,0
26,271359.55,9,7,3.1,67,72.65,8,3.91,0,71.26,4,90.3,Low,0,0,0,0
20,427704.52,5,5,6.35,57,62.69,4,2.93,4,80.39,3,31.19,Low,0,0,1,1
46,147991.66,9,4,1.49,53,45.02,9,2.5,4,71.09,6,73.46,Low,0,0,0,1
41,136426.91,17,2,4.25,64,68.53,6,9.79,9,68.26,1,82.87,Low,1,0,0,0
10,440294.07,16,4,2.91,53,58.57,1,2.58,9,100.0,6,51.84,Low,0,1,0,0
42,318155.08,16,6,0.0,51,75.34,5,1.25,4,67.79,5,99.17,Low,0,0,1,0
45,15000.0,15,6,2.15,51,56.95,1,2.35,3,88.2,4,66.87,Low,1,0,0,0
24,29429.48,2,6,1.9,61,53.56,4,4.68,2,51.11,1,77.88,Low,0,0,1,1
55,520222.46,15,6,5.13,66,52.2,9,3.12,5,73.97,6,81.59,Low,1,0,1,0
39,322347.09,21,7,5.21,45,46.09,4,5.19,1,61.21,2,75.42,Low,0,0,0,0
21,112804.73,15,7,2.95,71,52.59,3,2.75,1,100.0,9,61.88,Low,0,0,0,1
2,219326.26,14,2,4.63,52,69.77,2,3.09,10,63.08,6,57.4,Low,1,0,1,0
41,252382.6,6,7,1.91,42,48.51,2,2.8,5,71.51,5,78.86,Low,0,0,0,0
14,382432.0,19,4,4.44,65,40.84,3,4.28,4,58.82,3,83.3,Low,0,1,0,0
45,15000.0,11,12,2.4,53,76.21,10,6.21,4,57.86,1,89.6,Low,1,0,0,0
32,98629.16,7,5,4.4,55,59.51,6,6.47,4,70.78,7,69.33,Low,1,0,0,1
29,299132.04,12,5,4.6,52,75.82,8,7.88,9,77.8,3,73.43,Low,0,0,0,0
11,232029.78,3,3,3.63,57,58.03,2,1.35,5,88.92,3,56.11,Low,0,0,0,0
43,352934.65,22,5,0.72,63,51.71,7,2.0,7,62.73,4,90.41,Low,1,0,1,0
11,28688.67,17,6,1.36,49,30.62,9,2.3,6,62.47,9,56.76,Low,0,0,0,1
26,314283.16,8,6,3.7,60,41.66,8,4.49,6,92.56,4,82.61,Low,0,0,1,1
50,446485.05,19,3,3.99,43,46.29,8,1.91,4,97.5,7,90.25,Low,0,0,0,0
55,337627.34,2,6,2.52,53,67.06,8,2.85,8,70.65,2,89.95,Low,0,0,0,0
59,275040.11,9,8,1.58,54,60.04,10,6.14,10,79.45,4,47.49,Low,0,0,0,0
57,232740.95,15,10,2.58,55,43.54,4,7.07,3,98.71,3,44.21,Low,0,0,0,1
34,99726.79,1,7,1.64,64,11.95,4,6.16,3,100.0,7,55.46,Low,0,1,0,1
13,237040.25,17,5,1.65,75,70.33,1,5.27,8,78.7,7,52.95,Low,0,0,0,1
50,476747.05,19,6,6.12,53,77.79,2,2.91,1,84.05,1,100.0,Low,0,1,0,0
48,228574.87,14,7,1.25,67,79.36,5,4.55,4,74.13,3,78.66,Low,0,0,0,0
59,89835.28,5,2,3.22,58,44.63,1,7.24,10,48.32,5,49.22,Low,0,0,0,0
39,161395.52,18,2,2.51,43,80.48,8,6.09,7,77.54,5,54.08,Low,0,1,0,1
10,286153.05,8,4,0.0,57,72.19,4,6.62,2,93.94,3,100.0,Low,0,0,0,0
31,182767.48,17,5,0.0,49,72.1,4,6.78,4,59.95,10,95.3,Low,0,0,0,0
27,337354.59,15,2,2.04,45,51.03,10,3.71,10,42.33,5,48.16,Low,1,0,0,1
50,344111.88,3,10,0.0,41,59.61,1,6.02,5,81.45,5,85.95,Low,0,0,0,1
24,410016.97,3,3,5.86,55,94.97,6,3.59,9,43.9,3,66.33,Low,0,0,0,1
21,506240.71,1,7,1.48,59,92.19,6,5.93,8,46.85,5,68.33,Low,0,0,0,0
6,429254.57,2,5,1.31,55,61.13,10,7.44,8,45.85,6,47.61,Low,0,0,0,0
50,81836.97,7,5,4.65,61,65.45,5,8.23,7,39.95,2,64.91,Low,1,1,0,0
45,87363.8,1,8,1.92,57,22.49,10,5.93,1,88.92,6,53.36,Low,1,1,0,0
4,236361.13,22,6,3.5,53,83.67,7,5.45,3,74.21,2,94.78,Low,0,0,0,0
27,168788.44,22,8,1.05,54,75.42,4,7.83,0,100.0,3,54.56,Low,1,0,0,0
29,45101.19,4,7,2.29,62,68.21,6,2.43,4,83.75,4,92.86,Low,0,0,0,0
29,170495.48,8,11,4.14,60,51.16,5,7.97,1,100.0,9,65.02,Low,1,0,0,0
55,164587.67,18,4,0.48,54,63.2,7,4.81,6,61.7,4,37.41,Low,0,0,0,0
10,129067.41,16,9,3.26,58,88.38,3,4.83,4,77.8,3,60.1,Low,0,0,0,0
19,193157.89,14,8,0.0,52,68.52,4,3.42,10,51.61,4,49.1,Low,1,0,0,0
12,462121.15,23,7,4.73,58,100.0,8,1.68,8,67.56,2,79.79,Low,1,0,0,0
16,285862.85,15,3,1.09,60,76.61,10,8.03,2,94.95,6,49.93,Low,0,0,0,0
54,694925.63,16,3,2.03,39,45.46,6,5.47,4,71.35,6,62.81,Low,0,0,0,1
56,280691.47,12,6,2.0,49,54.61,4,3.61,4,68.24,5,76.65,Low,0,1,1,1
4,197788.16,13,5,0.25,36,49.22,1,5.34,0,71.65,4,49.17,Low,0,0,0,0
38,250743.92,7,1,0.1,45,77.44,10,3.69,7,74.3,2,95.76,Low,0,0,0,0
15,296168.56,12,8,3.24,62,82.76,10,0.41,0,74.32,4,74.38,Low,1,1,0,1
13,328345.71,22,5,3.34,47,92.89,3,4.07,9,93.33,4,72.28,Low,1,0,1,0
18,623808.04,9,8,0.43,62,56.02,8,1.12,5,60.46,2,43.58,Low,0,0,1,0
13,97842.32,4,1,3.28,62,70.42,7,5.07,4,68.69,6,61.33,Low,0,0,0,0
30,404628.29,14,6,3.32,39,85.05,10,8.31,0,73.57,6,65.69,Low,1,1,0,0
59,287395.11,19,8,1.44,56,89.9,6,2.96,6,57.54,6,48.49,Low,0,0,0,0
36,15000.0,23,5,0.0,53,39.85,3,6.4,8,64.85,5,86.11,Low,0,0,0,0
43,388725.78,13,9,2.12,56,73.16,4,2.96,4,84.26,5,71.1,Low,0,0,0,0
30,478172.24,19,4,2.93,51,40.53,8,4.45,2,58.81,3,54.88,Low,1,0,0,0
2,95708.25,6,4,2.08,49,51.17,3,2.39,10,100.0,6,64.22,Low,0,0,0,0
6,248391.9,10,6,1.02,69,38.48,7,5.99,5,98.19,8,71.03,Low,0,0,0,0
17,15000.0,10,7,3.13,64,50.82,9,7.73,7,74.83,3,100.0,Low,0,1,0,0
16,23414.84,8,7,4.73,53,35.91,2,4.96,8,81.21,1,77.49,Low,0,1,0,0
50,438645.32,17,4,0.66,48,40.72,6,5.79,6,84.33,7,55.7,Low,0,0,0,0
50,166045.03,21,15,1.6,47,45.72,3,5.78,6,80.96,5,58.28,Low,1,1,0,0
51,50415.46,8,6,7.69,57,67.46,5,3.9,7,73.53,3,62.94,Low,0,0,0,1
38,291302.87,4,7,2.78,44,62.61,2,7.64,9,100.0,9,80.6,Low,1,0,0,0
34,155965.76,19,13,0.0,45,32.41,4,3.26,7,60.51,6,77.3,Low,1,0,0,1
39,165252.1,20,7,1.24,54,100.0,2,0.73,9,65.81,3,78.71,Low,0,0,0,0
25,383078.68,22,4,0.69,70,53.21,4,2.29,3,73.16,3,68.4,Low,0,0,1,0
40,40888.0,6,3,2.96,62,38.07,7,5.98,1,82.32,3,42.14,Low,0,0,1,0
48,87034.26,17,6,2.82,61,72.49,4,3.57,1,100.0,4,79.89,Low,0,0,0,0
46,277734.4,17,1,0.93,48,61.92,9,4.72,0,71.97,7,56.18,Low,0,0,0,0
37,424493.76,19,5,5.91,47,47.37,7,3.93,4,81.26,1,79.83,Low,1,0,0,0
5,472868.85,19,7,2.37,53,69.03,10,4.93,9,78.17,4,47.92,Low,0,0,0,0
44,130288.89,22,5,1.29,56,49.9,7,7.12,0,70.68,6,69.87,Low,1,0,0,0
23,418727.85,11,7,0.0,55,56.68,3,8.16,7,91.87,5,83.43,Low,0,0,1,0
45,108854.39,2,6,0.41,57,88.38,6,2.17,8,78.85,4,100.0,Low,0,0,0,0
33,578717.68,5,7,0.0,50,64.22,7,6.74,10,87.82,4,60.54,Low,0,0,0,0
53,45921.22,21,7,1.82,54,73.05,5,4.97,8,67.31,2,96.4,Low,0,0,0,1
21,489126.19,20,7,0.43,62,52.6,1,1.56,0,63.35,4,88.87,Low,0,0,1,0
56,131832.5,1,3,3.77,46,64.76,2,5.69,1,66.51,4,63.86,Low,0,0,0,1
50,612384.36,9,5,1.03,53,48.13,3,8.94,10,76.78,4,70.57,Low,0,1,0,0
21,356437.73,6,7,3.88,85,47.33,5,2.73,1,89.88,3,60.57,Low,1,0,0,0
29,67117.02,8,6,3.18,40,54.58,9,3.95,10,100.0,5,57.33,Low,1,0,0,0
32,155997.07,15,7,3.49,55,49.5,1,0.65,10,74.8,0,44.29,Low,0,0,0,0
46,390612.62,12,4,3.99,66,80.68,10,4.22,2,100.0,2,52.64,Low,0,1,0,0
41,439476.0,12,6,6.19,55,72.42,6,4.88,8,82.02,0,24.85,Low,1,1,0,1
51,237271.19,11,7,0.5,62,20.74,10,9.24,0,61.31,5,73.03,Low,0,0,1,0
23,258038.49,15,8,3.89,69,93.04,7,2.26,1,73.9,3,97.89,Low,1,0,1,0
31,386503.55,16,0,3.0,54,73.54,5,6.81,4,84.31,5,75.21,Low,0,0,0,0
26,273723.72,1,3,4.33,59,82.6,2,5.22,2,85.55,2,71.76,Low,0,0,0,0
54,17169.13,4,10,2.42,57,58.92,8,9.86,4,64.33,2,59.93,Low,0,0,0,1
19,103664.68,8,7,4.55,46,35.11,7,4.92,2,66.3,4,100.0,Low,1,0,0,1
36,292321.59,11,5,0.0,56,38.17,4,4.38,2,66.64,3,89.75,Low,0,1,0,1
8,468786.83,23,5,0.19,45,92.73,9,6.53,3,68.84,3,48.19,Low,1,0,0,1
51,540876.84,21,5,1.06,56,32.71,8,5.67,0,76.89,2,100.0,Low,0,0,0,0
24,390315.3,15,4,2.05,50,35.98,3,6.75,7,100.0,4,98.71,Low,0,0,0,0
21,301712.34,1,6,2.29,62,54.21,2,5.85,9,65.26,1,52.32,Low,0,0,0,0
35,384786.5,3,4,0.72,51,37.07,7,0.96,4,45.77,8,85.39,Low,0,0,0,1
30,129984.85,11,7,0.22,60,71.6,2,5.75,2,44.74,5,67.96,Low,0,0,0,0
51,222418.43,14,6,0.89,63,72.99,6,5.7,9,85.07,4,35.88,Low,1,1,0,0
32,101656.47,16,5,0.0,49,69.45,10,2.72,9,63.28,3,54.89,Low,0,0,0,0
31,25226.33,4,6,1.62,53,50.95,8,5.19,5,76.31,4,85.05,Low,0,1,0,0
8,310038.82,21,5,2.08,72,67.2,4,0.2,2,60.68,6,82.78,Low,0,0,0,1
3,283392.4,12,12,3.08,58,94.1,10,5.11,8,69.63,2,100.0,Low,0,0,0,0
25,373777.45,14,9,2.53,57,36.19,9,6.14,9,66.8,3,74.63,Low,0,0,1,0
59,348300.13,1,5,5.79,64,82.1,5,6.8,0,61.01,5,38.78,Low,1,0,0,0
55,293675.97,19,8,3.82,55,76.54,1,6.18,3,91.78,2,53.66,Low,0,1,0,1
38,350191.0,13,3,3.67,55,60.11,9,2.37,9,92.96,1,63.22,Low,0,0,0,0
38,242317.04,6,6,2.93,44,64.99,9,0.98,1,82.24,5,65.88,Low,0,0,1,0
24,324320.45,8,9,3.27,62,68.42,10,6.76,2,100.0,4,65.22,Low,0,0,0,1
12,119294.01,9,4,1.76,56,44.42,10,5.47,9,50.95,3,76.89,Low,1,0,0,0
2,316547.07,1,8,2.4,57,32.62,5,5.68,8,68.62,3,98.0,Low,0,0,1,0
21,370315.18,22,3,6.04,66,78.32,1,8.54,3,66.41,3,78.14,Low,0,0,0,0
20,129457.34,19,6,2.06,50,39.59,4,0.64,9,83.35,3,36.31,Low,0,0,0,1
13,259329.78,21,8,0.0,52,42.32,4,8.83,3,51.83,4,77.56,Low,0,0,0,1
17,137751.55,9,8,3.59,59,52.72,4,3.15,2,82.68,3,38.47,Low,0,0,0,1
3,155228.79,13,6,3.95,60,67.12,9,6.48,4,48.91,5,59.06,Low,0,1,1,0
37,47512.72,11,10,2.51,57,53.01,9,4.47,6,83.97,5,100.0,Low,0,0,0,1
55,477839.49,11,5,0.0,53,48.97,1,3.67,6,90.48,4,34.12,Low,0,0,1,1
42,441823.33,14,2,4.77,59,79.15,10,0.88,2,53.89,2,100.0,Low,0,0,0,0
27,346738.09,11,8,2.66,59,56.0,4,2.89,6,66.13,2,80.12,Low,1,0,1,1
26,604995.27,18,7,1.58,65,47.63,2,5.62,0,91.04,4,76.55,Low,0,0,0,0
19,215935.77,2,5,4.58,49,69.1,3,5.35,0,94.27,3,46.23,Low,0,1,0,0
10,795717.23,5,8,0.0,61,63.05,1,6.78,2,49.16,5,71.97,Low,0,0,0,1
36,209044.71,21,6,2.42,43,62.52,2,2.84,10,78.03,6,61.5,Low,0,0,0,0
34,295934.8,21,10,1.12,63,69.98,3,6.29,7,82.46,1,54.81,Low,0,1,0,1
2,178399.98,19,10,5.18,60,59.53,1,4.66,0,71.85,7,68.12,Low,0,0,0,0
26,317018.6,9,7,2.69,51,77.2,2,6.02,0,94.98,4,100.0,Low,1,0,0,0
18,400410.69,11,6,0.47,45,36.29,3,5.73,9,63.25,5,84.57,Low,1,0,0,1
11,229495.05,1,4,4.48,60,84.34,8,3.37,5,65.36,1,66.44,Low,0,0,0,0
42,569809.57,7,7,0.0,50,45.56,2,5.11,7,61.45,5,77.12,Low,0,0,1,1
32,293046.87,17,5,3.22,55,32.54,10,5.61,3,75.93,3,62.67,Low,0,0,0,1
38,298687.37,8,2,0.0,62,47.81,10,6.39,3,67.7,3,83.12,Low,0,0,0,0
43,86380.41,12,4,1.28,56,55.71,4,8.11,1,85.96,9,48.29,Low,0,0,0,1
58,325329.83,3,5,1.72,51,48.77,1,2.98,6,66.44,7,85.83,Low,0,0,0,1
48,225875.1,12,8,4.02,65,44.63,3,1.7,6,69.35,1,42.91,Low,0,0,0,0
37,140516.85,17,7,6.61,59,80.19,2,7.59,6,76.05,6,65.27,Low,1,1,0,0
52,110234.61,14,2,0.0,51,46.33,1,1.41,10,59.56,4,90.39,Low,0,0,0,0
29,730917.41,13,6,3.09,47,21.36,9,6.98,7,89.11,5,100.0,Low,0,0,0,0
59,202574.09,22,6,6.6,67,55.69,2,2.32,10,83.82,1,29.96,Low,0,0,0,0
46,15000.0,6,3,1.05,54,98.82,8,2.99,8,83.3,5,49.1,Low,0,0,0,0
39,124320.14,7,4,0.93,59,42.85,7,4.31,1,56.53,6,70.79,Low,0,0,0,0
54,240717.79,15,9,2.67,52,45.81,5,1.02,5,97.59,6,83.58,Low,0,1,0,1
31,348400.07,12,5,3.86,67,54.73,4,2.17,10,43.23,5,59.64,Low,1,0,0,0
43,349863.37,23,4,3.52,41,89.8,4,0.48,7,84.71,2,70.17,Low,0,0,0,0
18,371790.62,2,4,1.48,62,55.53,4,6.11,1,75.11,3,71.32,Low,0,0,0,0
57,133925.14,3,7,0.59,55,43.58,4,4.47,2,83.55,3,69.48,Low,0,0,0,0
38,311279.28,8,7,4.83,44,68.54,3,4.53,0,69.43,3,70.44,Low,1,1,0,0
47,92309.3,11,4,0.65,53,67.2,10,4.35,7,74.23,4,71.68,Low,0,1,0,1
28,138464.26,21,1,0.0,48,70.76,10,4.46,4,84.08,3,100.0,Low,0,0,0,1
52,84812.38,12,2,0.0,41,42.88,9,3.34,4,72.87,2,67.85,Low,0,0,0,0
6,36090.01,11,7,1.05,52,51.84,9,6.8,10,76.34,4,94.43,Low,0,0,1,1
8,441557.71,4,10,5.19,48,82.26,3,0.27,10,76.86,3,70.84,Low,1,0,0,0
31,373950.11,10,5,0.0,39,69.36,9,1.04,1,100.0,3,59.03,Low,0,0,1,0
44,425799.77,13,5,5.24,55,76.56,5,7.76,9,47.34,4,66.94,Low,0,1,0,0
48,257076.35,14,8,4.81,49,61.03,2,5.14,10,93.64,2,40.76,Low,1,0,0,0
27,389825.39,14,9,2.65,61,81.01,8,0.2,0,80.14,2,52.15,Low,0,0,0,0
39,15000.0,10,8,0.0,57,67.28,10,5.27,10,78.16,5,58.6,Low,1,0,0,0
34,405355.75,4,7,0.0,60,52.58,9,0.69,8,52.55,5,74.21,Low,0,0,1,0
57,281881.57,4,5,0.93,49,75.42,1,7.62,3,91.34,3,100.0,Low,0,0,0,0
39,362879.73,4,6,5.66,52,46.25,2,6.71,6,54.76,4,65.44,Low,1,0,0,1
26,318404.19,15,5,1.06,61,89.78,2,9.53,0,96.46,3,53.15,Low,0,0,0,1
58,72330.07,20,7,0.65,47,80.15,10,3.78,7,64.2,3,87.09,Low,0,0,0,0
8,15000.0,21,11,2.58,52,56.73,6,1.58,3,96.46,4,75.3,Low,0,0,0,1
59,121830.25,8,5,0.0,54,58.67,9,3.2,2,61.54,3,92.87,Low,0,1,0,0
10,351685.11,2,8,2.15,55,64.38,2,3.26,8,57.96,4,89.49,Low,0,0,0,1
18,374216.45,15,7,0.6,65,58.89,6,5.43,8,71.32,0,82.14,Low,0,0,0,0
49,15000.0,1,9,7.58,40,85.74,4,0.2,3,60.99,1,78.39,Low,0,0,0,0
44,73402.11,15,6,0.36,62,52.3,6,4.49,1,69.08,5,89.53,Low,0,0,1,0
58,119817.58,9,1,6.06,55,34.95,7,2.07,8,99.84,3,88.24,Low,0,0,0,0
45,185685.09,20,4,0.0,42,57.34,6,3.27,9,64.0,1,89.04,Low,0,1,0,0
38,15000.0,15,9,2.73,62,75.55,1,7.82,9,75.64,2,88.67,Low,0,0,0,0
22,15000.0,18,6,3.2,55,80.26,9,6.91,4,98.32,3,70.75,Low,0,0,0,1
2,102069.65,10,10,2.48,51,64.05,10,6.25,5,76.67,6,57.43,Low,0,0,0,0
9,265525.69,20,8,2.36,44,50.59,6,6.03,1,90.86,2,72.5,Low,1,0,0,0
19,37493.02,13,5,3.92,49,61.21,2,3.87,3,81.75,7,64.74,Low,0,0,0,0
4,229155.37,15,7,3.03,55,50.21,9,4.38,7,88.83,1,55.33,Low,0,0,0,0
31,440539.51,9,7,1.85,53,20.51,6,0.73,8,71.77,3,100.0,Low,0,0,0,1
47,15679.65,11,5,0.85,49,46.66,9,1.54,4,82.16,4,71.8,Low,0,0,0,1
57,212839.76,20,5,1.87,55,71.19,7,4.8,10,100.0,1,53.09,Low,0,1,0,0
30,434456.21,10,6,1.84,41,57.13,8,1.81,2,67.55,3,96.1,Low,0,0,0,0
52,174711.69,1,7,1.8,36,56.45,8,6.16,7,79.54,3,74.06,Low,0,0,0,0
59,146739.46,9,3,2.35,43,81.92,1,4.38,7,61.98,3,89.91,Low,0,0,0,0
51,459429.25,10,3,0.0,55,44.65,3,3.79,6,89.43,5,65.36,Low,0,0,1,0
28,194883.63,10,6,0.14,48,46.41,5,3.04,3,46.11,6,82.7,Low,1,0,1,0
20,448809.1,2,5,3.86,37,67.96,8,5.58,7,68.09,7,83.51,Low,1,0,0,0
58,327213.77,3,6,0.0,53,49.19,3,6.13,2,88.93,9,73.88,Low,0,0,0,1
16,188287.96,8,8,4.59,58,49.1,5,2.39,9,70.39,13,60.7,Low,1,0,1,0
25,336344.3,10,6,1.08,62,89.89,1,3.24,6,44.17,3,79.21,Low,0,1,0,0
6,307680.91,1,0,5.54,60,42.7,7,4.05,4,60.49,3,82.8,Low,0,0,0,0
48,433758.91,9,8,4.65,51,48.82,7,5.27,3,61.87,3,50.37,Low,0,0,0,0
39,151297.8,8,3,1.55,54,69.9,6,5.24,1,97.99,1,100.0,Low,0,0,0,0
6,257417.09,1,7,1.75,53,61.12,6,4.25,0,85.46,7,100.0,Low,1,0,0,1
14,238927.18,6,9,5.39,58,37.28,10,6.2,3,87.09,4,74.63,Low,1,0,0,0
34,376746.67,7,9,4.75,65,94.11,1,4.17,2,53.1,7,87.36,Low,0,0,0,0
33,65467.75,4,8,4.15,41,47.7,8,1.15,7,72.86,7,71.69,Low,1,0,0,0
48,433055.87,18,7,4.49,60,57.58,7,7.71,4,97.69,9,60.62,Low,0,0,0,1
17,333939.18,2,6,0.02,68,69.86,5,6.85,1,87.13,3,89.11,Low,0,0,0,0
55,15000.0,14,6,2.61,48,100.0,2,1.2,6,64.66,3,57.31,Low,0,0,0,0
27,467487.31,16,4,0.66,56,54.62,10,4.93,6,85.36,1,78.68,Low,0,1,0,0
49,652136.75,19,6,0.0,70,45.45,10,7.62,5,52.24,6,60.13,Low,0,1,0,0
15,430330.11,13,7,2.53,66,70.96,4,3.77,7,59.07,4,56.91,Low,1,0,1,0
4,506857.26,13,4,1.37,59,99.59,7,6.35,10,42.65,6,74.64,Low,0,1,0,1
5,265366.85,18,5,1.87,57,64.45,2,7.17,6,70.99,9,90.77,Low,0,0,0,0
23,15000.0,20,3,1.2,63,56.86,1,5.14,3,82.92,3,76.71,Low,0,0,0,1
57,15000.0,5,6,0.0,67,69.04,10,9.64,6,57.36,6,73.15,Low,1,0,0,0
4,295914.77,19,6,5.59,54,24.64,9,6.06,9,71.31,2,39.69,Low,1,0,1,0
23,143443.81,11,3,2.51,50,50.93,1,4.74,7,59.35,6,68.4,Low,0,1,0,1
8,85376.27,3,5,0.0,46,29.14,1,4.1,5,63.32,2,46.61,Low,1,0,0,0
56,238705.6,15,6,2.56,49,55.52,2,4.39,1,56.04,6,73.04,Low,0,1,0,1
41,360805.35,23,9,5.24,70,52.77,1,3.15,7,92.64,4,71.91,Low,0,0,1,1
46,15000.0,4,2,4.12,53,14.52,4,1.83,8,61.72,2,70.95,Low,0,0,0,0
43,169202.03,1,3,1.16,52,65.23,4,2.34,5,68.79,2,71.44,Low,0,0,0,0
40,521776.72,22,5,1.21,70,73.13,7,4.16,6,64.38,4,81.04,Low,0,0,0,0
46,56448.09,14,9,0.29,55,58.52,2,6.43,1,77.82,8,82.2,Low,0,0,0,0
2,406557.01,6,6,0.72,51,34.49,9,5.28,10,100.0,6,78.08,Low,0,0,0,0
52,162748.46,19,8,0.88,48,84.77,9,4.91,4,100.0,3,89.45,Low,0,0,0,0
44,348242.88,10,2,0.0,52,96.15,8,9.59,9,69.28,4,28.53,Low,0,0,1,0
44,447518.95,8,7,1.31,59,69.2,10,8.54,7,79.47,3,53.96,Low,0,0,0,0
24,383430.72,7,5,2.89,62,55.63,2,2.31,7,88.19,2,79.93,Low,0,0,0,0
48,413648.73,14,6,1.37,54,55.86,8,6.19,3,92.9,6,72.1,Low,1,0,0,0
24,42713.16,4,6,2.63,61,69.8,5,1.65,2,82.99,3,56.49,Low,1,0,1,1
4,450458.75,9,4,5.44,60,63.62,4,5.14,3,90.51,5,79.85,Low,0,0,0,0
54,96515.24,8,6,5.87,45,69.84,7,1.2,2,79.42,2,85.23,Low,0,1,0,0
15,296717.52,2,4,2.06,50,70.1,3,3.04,7,62.75,7,58.37,Low,0,0,0,0
7,296484.31,18,9,3.96,67,48.71,1,6.0,1,90.41,9,60.39,Low,1,1,0,0
38,337322.06,1,5,1.87,51,47.19,4,3.41,8,75.04,5,42.55,Low,1,0,1,0
15,310652.2,23,8,1.22,51,56.95,8,1.91,1,78.18,4,70.21,Low,1,0,0,0
51,98114.2,3,4,0.0,62,70.42,1,2.85,5,51.15,2,71.18,Low,0,1,0,0
27,15000.0,9,5,2.37,65,33.93,9,2.23,3,60.53,7,52.93,Low,0,0,0,0
2,407022.76,3,6,4.37,59,57.88,10,5.49,8,66.69,3,62.61,Low,0,0,0,0
57,283450.22,9,6,0.0,51,61.35,5,7.39,3,81.28,3,71.08,Low,0,0,0,0
31,456887.83,15,10,1.63,44,53.24,3,4.03,9,100.0,5,88.55,Low,0,0,0,1
17,241948.07,3,6,1.53,60,87.25,9,6.97,9,85.31,2,65.09,Low,1,0,0,0
41,15000.0,13,7,2.69,51,84.18,3,3.12,5,69.92,2,55.73,Low,0,0,1,0
32,423903.34,18,7,2.73,63,69.48,3,4.26,0,57.03,2,98.66,Low,0,1,0,1
3,183333.29,11,2,3.27,56,93.87,8,8.78,7,92.8,3,84.48,Low,0,0,1,0
46,311560.62,3,5,5.99,61,77.81,4,4.07,7,77.94,3,48.61,Low,0,1,0,0
25,133457.3,16,8,0.46,56,64.41,7,7.07,0,21.63,4,84.84,Low,1,0,0,1
42,545974.31,5,6,0.35,39,53.42,3,2.77,6,89.51,9,62.55,Low,0,0,0,0
53,92218.33,1,3,2.69,54,54.89,10,4.45,0,78.81,1,90.45,Low,1,0,0,0
37,189262.64,11,3,5.11,45,68.85,3,2.44,2,38.44,7,64.52,Low,0,1,0,0
40,269340.77,7,7,0.0,53,55.31,10,4.66,6,82.79,5,39.67,Low,1,0,0,0
16,53407.18,1,1,2.86,57,34.69,8,5.07,5,74.18,5,61.73,Low,0,0,0,0
